match_id,date,team,opponent,player_id,player,position,started,minutes,goals,assists,yellow,red,rating,xg,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,38340,Saad Al Sheeb,GK,1,95,0,0,1,0,5.7,0.0,0,0,16,14,0,25,0,0,1,0,1,2,0,1
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,377210,Pedro Miguel,DR,1,95,0,0,0,0,6.0,0.02,1,0,22,16,0,49,1,0,1,2,3,0,2,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,98315,Abdelkarim Hassan,DC,1,95,0,0,0,0,6.3,0.02,1,0,63,53,1,79,0,0,2,1,0,2,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,111998,Boualem Khoukhi,DC,1,95,0,0,0,0,5.9,0.0,0,0,76,67,0,86,1,1,1,0,0,3,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,377212,Bassam Al Rawi,DC,1,95,0,0,0,0,6.4,0.0,0,0,57,47,1,72,1,0,1,1,1,7,1,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,447650,Homam El Amin,DL,1,95,0,0,0,0,6.8,0.0,0,0,31,20,1,58,3,1,3,3,1,1,2,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,37757,Hassan Al Haydos,MC,1,70,0,0,0,0,6.1,0.0,0,0,28,21,1,37,4,0,0,0,1,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,111987,Abdulaziz Hatem,MC,1,95,0,0,0,0,5.8,0.0,0,0,43,30,0,48,2,0,1,0,3,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,112080,Karim Boudiaf,MC,1,95,0,0,1,0,6.1,0.0,0,0,47,41,0,58,3,0,4,0,2,2,2,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,260819,Akram Afif,FW,1,95,0,0,1,0,6.1,0.02,1,0,33,31,1,49,0,0,0,2,1,0,3,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,281129,Almoez Ali,FW,1,71,0,0,1,0,5.4,0.3,1,0,10,6,0,14,2,0,0,0,1,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,447655,Mohammed Waad,Sub,0,25,0,0,0,0,6.2,0.0,0,0,4,2,0,7,0,0,0,1,1,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,126434,Mohammed Muntari,Sub,0,24,0,0,0,0,6.4,0.03,1,0,4,3,0,8,2,0,0,0,0,1,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,417725,Hernan Galindez,GK,1,95,0,0,0,0,6.5,0.0,0,0,18,10,0,20,0,0,0,0,0,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,409239,Angelo Preciado,DR,1,95,0,1,0,0,8.0,0.02,1,0,37,31,1,65,7,2,2,0,2,1,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,404832,Piero Hincapie,DC,1,95,0,0,0,0,6.7,0.0,0,0,71,69,0,75,0,1,0,0,0,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,417722,Felix Torres,DC,1,95,0,0,0,0,6.5,0.0,0,0,63,51,0,67,0,1,1,0,0,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,298694,Pervis Estupinan,DL,1,95,0,0,0,0,7.3,0.0,0,0,66,53,1,87,4,1,1,1,4,3,1,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,382206,Gonzalo Plata,MR,1,95,0,0,0,0,6.9,0.0,0,0,30,27,0,56,5,2,2,2,1,0,1,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,371017,Jhegson Mendez,MC,1,95,0,0,1,0,6.9,0.0,0,0,76,75,2,87,1,1,0,0,3,0,1,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,410175,Moises Caicedo,MC,1,89,0,0,1,0,6.6,0.0,0,0,48,44,0,54,0,2,0,0,1,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,360387,Romario Ibarra,ML,1,67,0,0,0,0,6.8,0.11,2,1,13,10,0,23,0,1,0,1,0,1,1,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,83895,Enner Valencia,FW,1,76,2,0,0,0,8.8,0.84,2,2,21,13,0,41,3,1,1,2,1,0,0,0
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,303196,Michael Estrada,FW,1,89,0,0,0,0,7.3,0.0,0,0,21,13,0,34,0,0,6,2,0,0,0,0
