match_id,date,team,opponent,side,source,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg,corners
2022_11_23_Germany_vs_Japan,2022-11-23,Germany,Japan,home,whoscored,1,2,74,26,15,832,87,5,4,6,6,51,,
2022_11_23_Germany_vs_Japan,2022-11-23,Japan,Germany,away,whoscored,2,1,26,12,8,294,69,3,1,14,14,49,,
2022_11_23_Morocco_vs_Croatia,2022-11-23,Morocco,Croatia,home,fotmob,0,0,35,8,2,348,78,0,0,1,16,49,0.37,0
2022_11_23_Morocco_vs_Croatia,2022-11-23,Croatia,Morocco,away,fotmob,0,0,65,5,2,642,86,1,1,2,11,51,0.52,5
2022_11_23_Morocco_vs_Croatia,2022-11-23,Morocco,Croatia,home,whoscored,0,0,36,8,8,384,78,0,0,3,16,49,,
2022_11_23_Morocco_vs_Croatia,2022-11-23,Croatia,Morocco,away,whoscored,0,0,64,5,3,692,84,1,1,8,11,51,,
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,Spain,Costa Rica,home,fotmob,7,0,82,17,8,1045,94,5,1,0,8,47,3.53,5
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,Costa Rica,Spain,away,fotmob,0,7,18,0,0,230,72,0,0,1,12,53,0.0,0
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,Spain,Costa Rica,home,whoscored,7,0,81,17,10,1090,93,5,1,0,8,40,,
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,Costa Rica,Spain,away,whoscored,0,7,19,0,0,249,71,0,0,3,12,60,,
2022_11_24_Brazil_vs_Serbia,2022-11-24,Brazil,Serbia,home,fotmob,2,0,59,23,9,581,87,2,1,0,7,49,2.43,6
2022_11_24_Brazil_vs_Serbia,2022-11-24,Serbia,Brazil,away,fotmob,0,2,41,5,0,406,80,0,0,7,12,51,0.18,4
2022_11_24_Brazil_vs_Serbia,2022-11-24,Brazil,Serbia,home,whoscored,2,0,59,23,14,627,85,2,1,2,7,49,,
2022_11_24_Brazil_vs_Serbia,2022-11-24,Serbia,Brazil,away,whoscored,0,2,41,5,2,439,78,0,0,12,12,51,,
2022_11_24_Portugal_vs_Ghana,2022-11-24,Portugal,Ghana,home,fotmob,3,2,62,11,5,622,89,5,2,1,14,57,2.0,3
2022_11_24_Portugal_vs_Ghana,2022-11-24,Ghana,Portugal,away,fotmob,2,3,38,9,3,387,81,2,0,2,19,43,0.93,3
2022_11_24_Portugal_vs_Ghana,2022-11-24,Portugal,Ghana,home,whoscored,3,2,62,11,8,659,87,5,2,2,14,62,,
2022_11_24_Portugal_vs_Ghana,2022-11-24,Ghana,Portugal,away,whoscored,2,3,38,9,4,412,80,2,0,5,19,38,,
2022_11_24_Switzerland_vs_Cameroon,2022-11-24,Switzerland,Cameroon,home,fotmob,1,0,51,7,3,514,84,3,2,5,12,49,1.44,11
2022_11_24_Switzerland_vs_Cameroon,2022-11-24,Cameroon,Switzerland,away,fotmob,0,1,49,8,5,494,85,1,1,2,10,51,0.74,5
2022_11_24_Switzerland_vs_Cameroon,2022-11-24,Switzerland,Cameroon,home,whoscored,1,0,51,7,4,556,82,3,2,6,12,44,,
2022_11_24_Switzerland_vs_Cameroon,2022-11-24,Cameroon,Switzerland,away,whoscored,0,1,49,8,6,535,83,1,1,3,10,56,,
2022_11_24_Uruguay_vs_South_Korea,2022-11-24,Uruguay,South Korea,home,fotmob,0,0,56,10,1,548,82,1,1,0,7,56,0.59,4
2022_11_24_Uruguay_vs_South_Korea,2022-11-24,South Korea,Uruguay,away,fotmob,0,0,44,7,0,418,78,1,1,1,10,44,0.64,3
2022_11_24_Uruguay_vs_South_Korea,2022-11-24,Uruguay,South Korea,home,whoscored,0,0,56,10,3,584,81,0,0,1,7,55,,
2022_11_24_Uruguay_vs_South_Korea,2022-11-24,South Korea,Uruguay,away,whoscored,0,0,44,7,1,467,75,1,1,3,10,45,,
2022_11_25_England_vs_USA,2022-11-25,England,USA,home,fotmob,0,0,56,8,3,541,87,1,1,1,9,52,0.77,3
2022_11_25_England_vs_USA,2022-11-25,USA,England,away,fotmob,0,0,44,10,1,421,84,1,1,3,15,48,0.63,7
2022_11_25_England_vs_USA,2022-11-25,England,USA,home,whoscored,0,0,55,8,4,576,86,1,1,5,9,50,,
2022_11_25_England_vs_USA,2022-11-25,USA,England,away,whoscored,0,0,45,10,5,463,82,1,1,4,15,50,,
2022_11_25_Netherlands_vs_Ecuador,2022-11-25,Netherlands,Ecuador,home,fotmob,1,1,54,2,1,506,83,0,0,3,15,55,0.1,2
2022_11_25_Netherlands_vs_Ecuador,2022-11-25,Ecuador,Netherlands,away,fotmob,1,1,46,15,4,413,79,1,0,0,12,45,1.68,5
2022_11_25_Netherlands_vs_Ecuador,2022-11-25,Netherlands,Ecuador,home,whoscored,1,1,54,2,1,541,82,0,0,8,15,58,,
2022_11_25_Netherlands_vs_Ecuador,2022-11-25,Ecuador,Netherlands,away,whoscored,1,1,46,15,11,465,77,1,0,0,12,42,,
