match_id,date,team,opponent,side,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,home,0,2,47,5,0,466,81,1,1,1,15,49,0.35
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,away,2,0,53,6,3,518,85,1,0,0,15,51,1.1
2022_11_21_England_vs_Iran,2022-11-21,England,Iran,home,6,2,78,13,11,836,90,3,0,2,9,60,2.0
2022_11_21_England_vs_Iran,2022-11-21,Iran,England,away,2,6,22,8,4,246,66,2,1,5,14,40,1.68
2022_11_21_Senegal_vs_Netherlands,2022-11-21,Senegal,Netherlands,home,0,2,47,15,8,425,80,0,0,4,13,54,0.8
2022_11_21_Senegal_vs_Netherlands,2022-11-21,Netherlands,Senegal,away,2,0,53,10,6,493,81,2,0,8,13,46,0.92
2022_11_21_USA_vs_Wales,2022-11-21,USA,Wales,home,1,1,59,6,2,623,87,2,1,3,15,47,0.76
2022_11_21_USA_vs_Wales,2022-11-21,Wales,USA,away,1,1,41,7,4,445,76,3,2,2,10,53,1.66
2022_11_22_Argentina_vs_Saudi_Arabia,2022-11-22,Argentina,Saudi Arabia,home,1,2,69,15,9,649,85,2,1,1,7,64,2.11
2022_11_22_Argentina_vs_Saudi_Arabia,2022-11-22,Saudi Arabia,Argentina,away,2,1,31,3,3,293,68,0,0,7,21,36,0.15
2022_11_22_Denmark_vs_Tunisia,2022-11-22,Denmark,Tunisia,home,0,0,61,11,8,648,84,1,1,8,9,44,1.49
2022_11_22_Denmark_vs_Tunisia,2022-11-22,Tunisia,Denmark,away,0,0,39,13,8,418,75,1,1,8,10,56,0.97
2022_11_22_France_vs_Australia,2022-11-22,France,Australia,home,4,1,62,23,13,768,89,8,4,0,5,65,4.08
2022_11_22_France_vs_Australia,2022-11-22,Australia,France,away,1,4,38,4,1,473,84,1,0,9,11,35,0.51
2022_11_22_Mexico_vs_Poland,2022-11-22,Mexico,Poland,home,0,0,61,11,7,544,84,1,1,3,14,50,0.6
2022_11_22_Mexico_vs_Poland,2022-11-22,Poland,Mexico,away,0,0,39,6,3,363,71,1,1,7,15,50,0.97
2022_11_23_Belgium_vs_Canada,2022-11-23,Belgium,Canada,home,1,0,54,9,6,546,83,1,0,10,11,57,0.83
2022_11_23_Belgium_vs_Canada,2022-11-23,Canada,Belgium,away,0,1,46,22,11,484,82,3,3,5,14,43,2.69
2022_11_23_Germany_vs_Japan,2022-11-23,Germany,Japan,home,1,2,74,26,15,832,89,5,4,6,6,48,3.1
2022_11_23_Germany_vs_Japan,2022-11-23,Japan,Germany,away,2,1,26,12,8,294,71,3,1,14,14,52,1.52
2022_11_23_Morocco_vs_Croatia,2022-11-23,Morocco,Croatia,home,2,1,35,12,7,519,83,1,1,3,16,49,0.56
2022_11_23_Morocco_vs_Croatia,2022-11-23,Croatia,Morocco,away,1,2,65,9,4,642,86,2,1,4,11,51,0.75
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,Spain,Costa Rica,home,7,0,82,17,10,1090,94,5,1,0,8,47,3.37
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,Costa Rica,Spain,away,0,7,18,0,0,249,72,0,0,3,12,53,0.0
2022_11_24_Brazil_vs_Serbia,2022-11-24,Brazil,Serbia,home,2,0,59,23,14,627,87,2,1,2,7,49,2.17
