pid,name,team,pos,mp,starts,mins,g,a,yc,rc,rating_best,xg,progPasses,xa,gConcOn,blocks,clrBox,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xga,xga90,gPrev
300713,Kylian Mbappe,France,AML,7,6,652,8,2,0,0,9.8,5.69,15,1.01,7,0,0,31,14,200,164,11,371,0,0,1,25,7,0,10,0,10,7.99,82,2.31,9.99,1.38,2.99
11119,Lionel Messi,Argentina,FW,7,7,731,7,3,1,0,8.9,6.97,44,1.42,8,0,0,32,18,347,295,21,526,7,0,4,15,10,0,24,0,10,8.26,85,0.03,4.06,0.5,-3.94
123761,Bruno Fernandes,Portugal,FWR,4,4,384,2,3,1,0,8.7,1.09,25,1.02,4,1,4,8,3,201,176,9,290,7,2,2,3,2,4,4,0,5,8.15,88,0.91,4.48,1.05,0.48
83532,Harry Kane,England,FW,5,5,420,2,3,0,0,8.1,2.84,8,0.49,3,1,5,12,6,90,60,5,158,2,0,9,4,1,5,5,0,5,7.34,67,-0.84,3.57,0.76,0.57
70524,Ivan Perisic,Morocco,DL,7,7,693,1,4,0,0,8.2,0.84,10,0.55,8,0,13,15,4,232,177,12,406,9,6,16,7,9,18,5,0,5,7.19,76,0.16,11.99,1.56,3.99
24444,Olivier Giroud,France,FW,6,6,428,4,0,1,0,8.4,3.22,2,0.2,4,0,5,16,6,73,48,2,116,4,1,19,0,2,5,1,0,4,7.17,66,0.78,5.5,1.16,1.5
365409,Julian Alvarez,Argentina,Sub,7,5,483,4,0,0,0,8.5,2.41,5,0.61,2,0,1,11,8,116,90,2,186,6,0,2,0,13,3,7,0,4,6.96,78,1.59,1.69,0.31,-0.31
91213,Alvaro Morata,Spain,Sub,4,1,201,3,1,0,0,8.1,1.34,2,0.28,3,1,2,8,5,41,28,2,69,2,0,1,1,1,2,5,0,4,7.02,68,1.66,2.68,1.2,-0.32
395802,Goncalo Ramos,Portugal,Sub,4,2,173,3,1,0,0,10.0,1.58,0,0.11,3,0,2,7,5,31,25,2,60,2,0,4,0,2,2,0,0,4,6.98,81,1.42,1.94,1.01,-1.06
141670,Mislav Orsic,Morocco,AML,6,2,274,2,2,0,0,7.5,0.62,6,0.8,3,0,2,14,3,73,57,6,126,13,0,0,1,5,2,0,0,4,6.82,78,1.38,3.22,1.06,0.22
367185,Bukayo Saka,England,AMR,4,4,289,3,0,0,0,9.2,0.57,4,0.51,3,1,1,7,5,101,80,5,164,8,2,1,2,7,2,3,0,3,7.67,79,2.43,3.19,0.99,0.19
352825,Cody Gakpo,Netherlands,AMC,5,5,458,3,0,0,0,8.1,0.58,11,0.68,4,1,4,5,3,110,81,10,233,9,3,5,5,8,6,9,0,3,7.52,74,2.42,5.77,1.13,1.77
317804,Richarlison,Brazil,FW,4,4,327,3,0,0,0,8.5,1.61,3,0.28,1,0,4,8,4,56,40,6,108,2,1,4,0,5,4,3,0,3,7.42,71,1.39,1.12,0.31,0.12
83895,Enner Valencia,Ecuador,FW,3,3,261,3,0,0,0,8.8,1.97,1,0.39,3,0,2,9,4,53,37,3,115,3,1,2,2,3,2,6,0,3,7.27,70,1.03,2.53,0.87,-0.47
300299,Marcus Rashford,England,Sub,5,1,171,3,0,0,0,9.2,1.33,3,0.01,1,0,1,11,6,64,48,0,98,2,1,1,5,1,1,1,0,3,6.92,75,1.67,1.64,0.86,0.64
50835,Neymar,Brazil,AMC,3,3,281,2,1,0,0,8.2,2.75,12,0.4,2,0,0,12,7,142,115,6,244,1,1,0,6,4,0,12,0,3,7.43,81,-0.75,0.98,0.32,-1.02
358801,Mehdi Taremi,Iran,FW,3,3,304,2,1,0,0,7.8,1.67,3,0.07,7,1,3,6,3,78,58,9,136,7,2,5,1,5,3,5,0,3,7.33,74,0.33,4.07,1.2,-2.93
29400,Robert Lewandowski,Poland,FW,4,4,389,2,1,0,0,8.9,3.23,4,0.42,5,1,8,12,4,87,61,5,175,5,1,16,5,6,8,6,0,3,7.15,70,-1.23,7.34,1.7,2.34
86743,Vincent Aboubakar,Cameroon,Sub,3,1,164,2,1,2,1,8.4,0.7,1,0.39,0,0,4,6,3,31,20,2,55,0,0,2,5,3,4,0,0,3,6.9,65,1.3,3.24,1.78,3.24
104058,Niclas Fullkrug,Germany,Sub,3,0,92,2,1,0,0,7.4,2.0,1,0.13,3,0,0,8,3,24,15,1,39,0,0,4,1,0,0,0,0,3,6.87,62,0.0,1.36,1.33,-1.64
303115,Theo Hernandez,France,Sub,6,5,546,1,2,1,0,8.3,0.27,36,0.85,5,2,5,5,2,280,243,11,413,21,4,8,2,6,7,5,0,3,7.2,87,0.73,7.77,1.28,2.77
337782,Vinicius Junior,Brazil,AML,4,4,304,1,2,0,0,8.2,0.79,0,0.76,0,1,0,9,4,76,66,8,155,5,0,0,5,0,0,11,0,3,7.2,87,0.21,1.02,0.3,1.02
331254,Phil Foden,England,Sub,4,3,275,1,2,0,0,8.2,1.29,4,0.37,3,0,0,6,1,102,83,6,152,2,1,3,3,2,0,1,0,3,7.15,81,-0.29,3.51,1.15,0.51
302692,Christian Pulisic,USA,FWL,4,4,335,1,2,0,0,7.7,1.25,12,0.88,4,0,0,9,5,110,80,9,218,3,0,2,4,2,1,10,0,3,7.1,73,-0.25,4.02,1.08,0.02
362431,Joao Felix,Portugal,FWL,4,4,338,1,2,1,0,8.7,0.87,5,0.15,3,0,1,11,3,115,88,3,168,7,1,2,2,8,1,0,0,3,7.1,77,0.13,3.77,1.0,0.77
115375,Raphael Guerreiro,Portugal,DL,4,3,303,1,2,0,0,8.2,0.45,14,0.6,4,0,0,3,1,146,129,6,212,4,3,2,2,2,0,1,0,3,6.95,88,0.55,3.49,1.04,-0.51
108860,Davy Klaassen,Netherlands,Sub,4,3,200,1,2,0,0,7.2,0.46,4,0.03,1,0,1,2,1,75,59,4,103,3,1,2,0,1,2,3,0,3,6.78,79,0.54,2.23,1.0,1.23
322153,Denzel Dumfries,Netherlands,MR,5,5,508,1,2,0,0,9.0,0.41,11,0.41,4,1,3,1,1,159,113,2,296,9,7,9,0,17,4,7,0,3,6.62,71,0.59,6.3,1.12,2.3
87310,Marko Livaja,Morocco,FW,6,4,292,1,2,0,0,7.4,0.81,7,0.04,3,0,0,7,4,62,41,5,99,3,1,5,0,7,1,1,0,3,6.52,66,0.19,3.71,1.14,0.71
80241,Antoine Griezmann,France,AMC,7,6,583,0,3,1,0,8.8,0.65,32,3.2,6,3,6,6,3,284,238,22,412,16,8,5,4,3,7,9,0,3,7.53,84,-0.65,8.15,1.26,2.15
400166,Mohammed Kudus,Ghana,MC,3,3,255,2,0,1,0,8.6,0.74,3,0.02,5,0,0,8,4,79,60,0,144,6,1,0,10,3,0,6,0,2,7.53,76,1.26,5.16,1.82,0.16
128627,Giorgian de Arrascaeta,Uruguay,Sub,2,1,118,2,0,0,0,8.7,1.0,2,0.43,1,0,0,3,3,45,30,3,74,7,2,0,0,0,1,4,0,2,7.35,67,1.0,1.98,1.51,0.98
343435,Ritsu Doan,Japan,Sub,4,2,232,2,0,0,0,7.5,0.66,6,0.27,1,1,1,4,3,46,32,3,108,8,3,1,4,3,2,3,0,2,7.18,70,1.34,2.57,1.0,1.57
326413,Kai Havertz,Germany,FW,2,1,113,2,0,0,0,8.1,1.15,1,0.23,2,0,0,5,3,32,26,2,46,2,1,0,0,3,0,0,0,2,7.15,81,0.85,1.7,1.35,-0.3
402664,Josko Gvardiol,Morocco,DC,7,7,720,2,0,0,0,7.4,0.13,46,0.22,8,3,34,3,2,466,421,1,567,12,11,3,1,10,41,2,0,2,7.01,90,1.87,12.05,1.51,4.05
447605,Cho Gue-Sung,South Korea,Sub,4,3,296,2,0,1,0,8.7,1.07,6,0.09,8,0,3,9,5,62,40,1,101,2,0,21,0,7,3,5,0,2,7.0,65,0.93,5.76,1.75,-2.24
115279,Aleksandar Mitrovic,Serbia,FW,3,3,278,2,0,1,0,7.7,1.63,1,0.04,8,0,1,10,3,67,54,2,100,1,0,5,1,3,1,3,0,2,6.97,81,0.37,7.46,2.41,-0.54
