match_id,event_id,market_xg
4837109,793,0.04840591177344322
4837109,422,0.014981159940361977
4837109,735,0.02713175304234028
4837109,317,0.49946922063827515
4837109,881,0.4657915532588959
4837109,771,0.08873482048511505
4837109,593,0.013223747722804546
4837109,230,0.11907881498336792
4837109,311,0.0933588519692421
4837109,363,0.03186454623937607
4837109,385,0.08794321864843369
4837109,674,0.09262601286172867
4837109,764,0.03331892937421799
4837109,684,0.0957268550992012
4837109,488,0.011491241864860058
4837109,112,0.01825200952589512
4837109,490,0.5455774664878845
4837109,17,0.05386113375425339
4837109,227,0.06889790296554565
4837109,354,0.020870191976428032
4837109,489,0.04799390956759453
4837109,379,0.012761583551764488
4837110,203,0.05869912728667259
4837110,369,0.6292787194252014
4837110,11,0.10071926563978195
4837110,135,0.068695567548275
4837110,464,0.02178058587014675
4837110,445,0.492308646440506
4837110,204,0.126898854970932
4837110,646,0.11308426409959793
4837110,114,0.024095412343740463
4837110,42,0.07757119089365005
4837110,443,0.125599205493927
4837110,183,0.034943751990795135
4837110,375,0.06635403633117676
4837110,847,0.05947475507855415
4837110,599,0.14132700860500336
4837110,479,0.05314451828598976
4837110,38,0.2678038775920868
4837110,637,0.04361704736948013
4837110,638,0.07414790242910385
4837110,562,0.04813680797815323
4837110,587,0.06412971019744873
4837110,526,0.014047360047698021
4837110,657,0.05093888193368912
4837110,238,0.049450766295194626
4837110,563,0.04061511904001236
4837111,709,0.016105296090245247
4837111,631,0.03019259311258793
4837111,973,0.02139553427696228
4837111,308,0.07607927918434143
4837111,866,0.012935234233736992
4837111,608,0.0460217259824276
4837111,702,0.021385978907346725
4837111,220,0.33815133571624756
4837111,690,0.08539044857025146
4837111,957,0.0869385153055191
4837111,723,0.009651395492255688
4837111,26,0.024147076532244682
4837111,381,0.011132997460663319
4837111,542,0.10384447127580643
4837111,492,0.721170961856842
4837111,575,0.015464949421584606
4837111,107,0.032889947295188904
4837111,328,0.07016357034444809
4837111,352,0.4361315965652466
4837111,283,0.07255319505929947
4837111,271,0.013809573836624622
4837112,611,0.026325639337301254
4837112,209,0.018670575693249702
4837112,631,0.07796908915042877
4837112,647,0.017431804910302162
