match_id,date,team,opponent,side,source,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg,corners
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,home,fotmob,5,0,38,14,7,334,72,3,0,0,22,56,,6
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,away,fotmob,0,5,62,6,0,556,81,0,0,2,10,44,,2
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,home,whoscored,5,0,39,14,11,382,71,3,0,3,22,63,,
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,away,whoscored,0,5,61,6,3,597,81,0,0,6,10,37,,
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,home,fotmob,0,1,41,8,3,421,74,0,0,3,12,41,,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Uruguay,Egypt,away,fotmob,1,0,59,15,4,586,84,3,3,3,6,59,,5
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,home,whoscored,0,1,42,8,5,460,74,0,0,7,12,36,,
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Uruguay,Egypt,away,whoscored,1,0,58,15,8,639,82,3,3,5,6,64,,
2018_06_15_Morocco_vs_Iran,2018-06-15,Morocco,Iran,home,fotmob,0,1,67,14,3,446,83,0,0,2,22,51,,5
2018_06_15_Morocco_vs_Iran,2018-06-15,Iran,Morocco,away,fotmob,1,0,33,8,2,216,59,2,2,3,14,49,,2
2018_06_15_Morocco_vs_Iran,2018-06-15,Morocco,Iran,home,whoscored,0,1,65,15,9,486,81,0,0,3,22,60,,
2018_06_15_Morocco_vs_Iran,2018-06-15,Iran,Morocco,away,whoscored,1,0,35,8,3,256,56,2,2,8,14,40,,
2018_06_15_Portugal_vs_Spain,2018-06-15,Portugal,Spain,home,fotmob,3,3,34,8,3,373,84,2,1,3,12,52,,4
2018_06_15_Portugal_vs_Spain,2018-06-15,Spain,Portugal,away,fotmob,3,3,66,12,6,748,93,1,0,0,10,48,,5
2018_06_15_Portugal_vs_Spain,2018-06-15,Portugal,Spain,home,whoscored,3,3,34,8,5,411,82,2,1,5,12,49,,
2018_06_15_Portugal_vs_Spain,2018-06-15,Spain,Portugal,away,whoscored,3,3,66,12,8,786,92,1,0,2,10,51,,
2018_06_16_Argentina_vs_Iceland,2018-06-16,Argentina,Iceland,home,fotmob,1,1,78,29,7,746,89,1,1,1,10,54,,10
2018_06_16_Argentina_vs_Iceland,2018-06-16,Iceland,Argentina,away,fotmob,1,1,22,9,2,199,64,2,1,6,15,46,,2
2018_06_16_Argentina_vs_Iceland,2018-06-16,Argentina,Iceland,home,whoscored,1,1,78,29,18,791,88,1,1,3,10,56,,
2018_06_16_Argentina_vs_Iceland,2018-06-16,Iceland,Argentina,away,whoscored,1,1,22,9,4,224,61,2,1,16,15,44,,
2018_06_16_Croatia_vs_Nigeria,2018-06-16,Croatia,Nigeria,home,fotmob,2,0,55,11,2,464,81,3,2,2,20,48,,6
2018_06_16_Croatia_vs_Nigeria,2018-06-16,Nigeria,Croatia,away,fotmob,0,2,45,14,2,386,79,0,0,1,16,52,,5
2018_06_16_Croatia_vs_Nigeria,2018-06-16,Croatia,Nigeria,home,whoscored,2,0,54,11,4,505,78,3,2,7,20,49,,
2018_06_16_Croatia_vs_Nigeria,2018-06-16,Nigeria,Croatia,away,whoscored,0,2,46,15,8,428,75,0,0,3,16,51,,
2018_06_16_France_vs_Australia,2018-06-16,France,Australia,home,fotmob,2,1,55,12,5,509,84,1,0,1,16,52,,5
2018_06_16_France_vs_Australia,2018-06-16,Australia,France,away,fotmob,1,2,45,4,1,400,79,1,0,4,19,48,,1
2018_06_16_France_vs_Australia,2018-06-16,France,Australia,home,whoscored,2,1,56,12,7,557,82,1,0,2,16,54,,
2018_06_16_France_vs_Australia,2018-06-16,Australia,France,away,whoscored,1,2,44,5,3,442,78,1,0,6,19,46,,
2018_06_16_Peru_vs_Denmark,2018-06-16,Peru,Denmark,home,fotmob,0,1,53,16,6,393,82,2,2,2,10,52,,3
2018_06_16_Peru_vs_Denmark,2018-06-16,Denmark,Peru,away,fotmob,1,0,47,10,3,351,79,2,1,6,18,48,,7
2018_06_16_Peru_vs_Denmark,2018-06-16,Peru,Denmark,home,whoscored,0,1,53,16,8,433,81,2,2,4,10,48,,
2018_06_16_Peru_vs_Denmark,2018-06-16,Denmark,Peru,away,whoscored,1,0,47,10,5,386,75,2,1,8,18,52,,
2018_06_17_Brazil_vs_Switzerland,2018-06-17,Brazil,Switzerland,home,fotmob,1,1,55,21,4,534,88,5,5,1,11,52,,7
2018_06_17_Brazil_vs_Switzerland,2018-06-17,Switzerland,Brazil,away,fotmob,1,1,45,7,2,437,80,1,0,3,19,48,,2
2018_06_17_Brazil_vs_Switzerland,2018-06-17,Brazil,Switzerland,home,whoscored,1,1,55,21,9,573,85,5,5,1,11,54,,
2018_06_17_Brazil_vs_Switzerland,2018-06-17,Switzerland,Brazil,away,whoscored,1,1,45,7,2,475,78,1,0,7,19,46,,
2018_06_17_Costa_Rica_vs_Serbia,2018-06-17,Costa Rica,Serbia,home,fotmob,0,1,53,10,3,430,81,2,2,2,18,46,,5
2018_06_17_Costa_Rica_vs_Serbia,2018-06-17,Serbia,Costa Rica,away,fotmob,1,0,47,10,3,398,80,1,1,3,14,54,,4
2018_06_17_Costa_Rica_vs_Serbia,2018-06-17,Costa Rica,Serbia,home,whoscored,0,1,52,10,7,481,78,2,2,4,18,46,,
2018_06_17_Costa_Rica_vs_Serbia,2018-06-17,Serbia,Costa Rica,away,whoscored,1,0,48,10,5,438,78,1,1,7,14,54,,
2018_06_17_Germany_vs_Mexico,2018-06-17,Germany,Mexico,home,fotmob,0,1,67,27,9,580,87,2,2,3,10,47,,8
2018_06_17_Germany_vs_Mexico,2018-06-17,Mexico,Germany,away,fotmob,1,0,33,13,4,294,77,1,0,9,15,53,,1
2018_06_17_Germany_vs_Mexico,2018-06-17,Germany,Mexico,home,whoscored,0,1,66,27,18,633,85,2,2,5,10,44,,
2018_06_17_Germany_vs_Mexico,2018-06-17,Mexico,Germany,away,whoscored,1,0,34,13,6,330,76,1,0,17,15,56,,
2018_06_18_Belgium_vs_Panama,2018-06-18,Belgium,Panama,home,fotmob,3,0,62,15,6,561,86,2,0,2,17,55,,9
2018_06_18_Belgium_vs_Panama,2018-06-18,Panama,Belgium,away,fotmob,0,3,38,6,2,342,80,1,1,3,18,45,,3
2018_06_18_Belgium_vs_Panama,2018-06-18,Belgium,Panama,home,whoscored,3,0,63,15,8,609,84,2,0,2,17,59,,
2018_06_18_Belgium_vs_Panama,2018-06-18,Panama,Belgium,away,whoscored,0,3,37,6,2,364,79,1,1,5,18,41,,
2018_06_18_Sweden_vs_South_Korea,2018-06-18,Sweden,South Korea,home,fotmob,1,0,55,15,4,427,82,3,2,0,20,54,,6
2018_06_18_Sweden_vs_South_Korea,2018-06-18,South Korea,Sweden,away,fotmob,0,1,45,5,0,351,78,0,0,3,23,46,,5
2018_06_18_Sweden_vs_South_Korea,2018-06-18,Sweden,South Korea,home,whoscored,1,0,55,15,10,479,79,3,2,3,20,52,,
2018_06_18_Sweden_vs_South_Korea,2018-06-18,South Korea,Sweden,away,whoscored,0,1,45,5,3,388,77,0,0,9,23,48,,
2018_06_18_Tunisia_vs_England,2018-06-18,Tunisia,England,home,fotmob,1,2,39,6,1,340,79,1,0,6,14,38,,2
2018_06_18_Tunisia_vs_England,2018-06-18,England,Tunisia,away,fotmob,2,1,61,16,9,519,86,5,3,0,8,62,,7
2018_06_18_Tunisia_vs_England,2018-06-18,Tunisia,England,home,whoscored,1,2,39,6,3,362,79,1,0,9,14,36,,
2018_06_18_Tunisia_vs_England,2018-06-18,England,Tunisia,away,whoscored,2,1,61,16,11,572,85,5,3,2,8,64,,
2018_06_19_Colombia_vs_Japan,2018-06-19,Colombia,Japan,home,fotmob,1,2,38,9,3,363,77,3,3,3,15,43,,3
2018_06_19_Colombia_vs_Japan,2018-06-19,Japan,Colombia,away,fotmob,2,1,62,14,5,588,87,6,4,2,9,57,,6
2018_06_19_Colombia_vs_Japan,2018-06-19,Colombia,Japan,home,whoscored,1,2,40,9,8,410,76,3,3,6,15,49,,
2018_06_19_Colombia_vs_Japan,2018-06-19,Japan,Colombia,away,whoscored,2,1,60,14,8,626,85,6,4,7,9,51,,
2018_06_19_Poland_vs_Senegal,2018-06-19,Poland,Senegal,home,fotmob,1,2,61,11,4,556,84,2,1,1,8,52,,3
2018_06_19_Poland_vs_Senegal,2018-06-19,Senegal,Poland,away,fotmob,2,1,39,8,2,348,78,2,1,3,15,48,,3
2018_06_19_Poland_vs_Senegal,2018-06-19,Poland,Senegal,home,whoscored,1,2,61,12,6,590,83,2,1,3,8,50,,
2018_06_19_Poland_vs_Senegal,2018-06-19,Senegal,Poland,away,whoscored,2,1,39,8,4,376,77,2,1,4,15,50,,
2018_06_19_Russia_vs_Egypt,2018-06-19,Russia,Egypt,home,fotmob,3,1,48,12,4,413,72,2,0,0,11,55,,7
2018_06_19_Russia_vs_Egypt,2018-06-19,Egypt,Russia,away,fotmob,1,3,52,15,1,442,77,1,0,2,10,45,,4
2018_06_19_Russia_vs_Egypt,2018-06-19,Russia,Egypt,home,whoscored,3,1,48,12,6,468,69,2,0,3,11,53,,
