match_id,date,stage,venue,home,away,home_score,away_score,home_xg,away_xg,xg_source,home_xg_model,away_xg_model,home_xg_fotmob,away_xg_fotmob
2018_06_19_Poland_vs_Senegal,2018-06-19,World Cup Grp. H,Otkrytiye Arena,Poland,Senegal,1,2,1.07,1.34,model,1.07,1.34,,
2018_06_19_Russia_vs_Egypt,2018-06-19,World Cup Grp. A,New Zenit Stadium,Russia,Egypt,3,1,1.18,1.49,model,1.18,1.49,,
2018_06_20_Iran_vs_Spain,2018-06-20,World Cup Grp. B,Kazan Arena,Iran,Spain,0,1,0.71,1.78,model,0.71,1.78,,
2018_06_20_Portugal_vs_Morocco,2018-06-20,World Cup Grp. B,Luzhniki,Portugal,Morocco,1,0,1.33,0.89,model,1.33,0.89,,
2018_06_20_Uruguay_vs_Saudi_Arabia,2018-06-20,World Cup Grp. A,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,1,1,0.94,1.66,model,0.94,1.66,,
2018_06_21_Argentina_vs_Croatia,2018-06-21,World Cup Grp. D,Nizhny Novgorod Stadium,Argentina,Croatia,0,3,1.37,1.63,model,1.37,1.63,,
2018_06_21_Denmark_vs_Australia,2018-06-21,World Cup Grp. C,Cosmos Arena,Denmark,Australia,1,1,1.11,1.45,model,1.11,1.45,,
2018_06_21_France_vs_Peru,2018-06-21,World Cup Grp. C,Ekaterinburg Arena,France,Peru,1,0,2.18,0.74,model,2.18,0.74,,
2018_06_22_Brazil_vs_Costa_Rica,2018-06-22,World Cup Grp. E,New Zenit Stadium,Brazil,Costa Rica,2,0,3.01,0.14,model,3.01,0.14,,
2018_06_22_Nigeria_vs_Iceland,2018-06-22,World Cup Grp. D,Volgograd Arena,Nigeria,Iceland,2,0,1.81,1.46,model,1.81,1.46,,
2018_06_22_Serbia_vs_Switzerland,2018-06-22,World Cup Grp. E,Kaliningrad Stadium,Serbia,Switzerland,1,2,1.22,2.24,model,1.22,2.24,,
2018_06_23_Belgium_vs_Tunisia,2018-06-23,World Cup Grp. G,Otkrytiye Arena,Belgium,Tunisia,5,2,4.23,1.03,model,4.23,1.03,,
2018_06_23_Germany_vs_Sweden,2018-06-23,World Cup Grp. F,Fisht Olympic Stadium,Germany,Sweden,2,1,1.29,1.14,model,1.29,1.14,,
2018_06_23_South_Korea_vs_Mexico,2018-06-23,World Cup Grp. F,Rostov-on-Don Stadium,South Korea,Mexico,1,2,0.94,2.16,model,0.94,2.16,,
2018_06_24_England_vs_Panama,2018-06-24,World Cup Grp. G,Nizhny Novgorod Stadium,England,Panama,6,1,2.84,1.23,model,2.84,1.23,,
2018_06_24_Japan_vs_Senegal,2018-06-24,World Cup Grp. H,Ekaterinburg Arena,Japan,Senegal,2,2,0.72,1.64,model,0.72,1.64,,
2018_06_24_Poland_vs_Colombia,2018-06-24,World Cup Grp. H,Kazan Arena,Poland,Colombia,0,3,1.01,1.7,model,1.01,1.7,,
2018_06_25_Iran_vs_Portugal,2018-06-25,World Cup Grp. B,Mordovia-Arena,Iran,Portugal,1,1,1.46,1.28,model,1.46,1.28,,
2018_06_25_Saudi_Arabia_vs_Egypt,2018-06-25,World Cup Grp. A,Volgograd Arena,Saudi Arabia,Egypt,2,1,2.68,1.06,model,2.68,1.06,,
2018_06_25_Spain_vs_Morocco,2018-06-25,World Cup Grp. B,Kaliningrad Stadium,Spain,Morocco,2,2,2.68,0.96,model,2.68,0.96,,
2018_06_25_Uruguay_vs_Russia,2018-06-25,World Cup Grp. A,Cosmos Arena,Uruguay,Russia,3,0,2.66,0.19,model,2.66,0.19,,
2018_06_26_Australia_vs_Peru,2018-06-26,World Cup Grp. C,Fisht Olympic Stadium,Australia,Peru,0,2,0.74,0.18,model,0.74,0.18,,
2018_06_26_Denmark_vs_France,2018-06-26,World Cup Grp. C,Luzhniki,Denmark,France,0,0,0.61,0.4,model,0.61,0.4,,
2018_06_26_Iceland_vs_Croatia,2018-06-26,World Cup Grp. D,Rostov-on-Don Stadium,Iceland,Croatia,1,2,2.51,1.28,model,2.51,1.28,,
2018_06_26_Nigeria_vs_Argentina,2018-06-26,World Cup Grp. D,New Zenit Stadium,Nigeria,Argentina,1,2,1.69,1.11,model,1.69,1.11,,
2018_06_27_Mexico_vs_Sweden,2018-06-27,World Cup Grp. F,Ekaterinburg Arena,Mexico,Sweden,0,3,1.4,2.88,model,1.4,2.88,,
2018_06_27_Serbia_vs_Brazil,2018-06-27,World Cup Grp. E,Otkrytiye Arena,Serbia,Brazil,0,2,1.14,1.87,model,1.14,1.87,,
2018_06_27_South_Korea_vs_Germany,2018-06-27,World Cup Grp. F,Kazan Arena,South Korea,Germany,2,0,1.53,2.53,model,1.53,2.53,,
2018_06_27_Switzerland_vs_Costa_Rica,2018-06-27,World Cup Grp. E,Nizhny Novgorod Stadium,Switzerland,Costa Rica,2,2,1.59,1.76,model,1.59,1.76,,
2018_06_28_England_vs_Belgium,2018-06-28,World Cup Grp. G,Kaliningrad Stadium,England,Belgium,2,0,1.78,0.97,model,1.78,0.97,,
2018_06_28_Japan_vs_Poland,2018-06-28,World Cup Grp. H,Volgograd Arena,Japan,Poland,0,1,0.57,1.07,model,0.57,1.07,,
2018_06_28_Panama_vs_Tunisia,2018-06-28,World Cup Grp. G,Mordovia-Arena,Panama,Tunisia,1,2,0.79,1.98,model,0.79,1.98,,
2018_06_28_Senegal_vs_Colombia,2018-06-28,World Cup Grp. H,Cosmos Arena,Senegal,Colombia,0,1,0.35,0.18,model,0.35,0.18,,
2018_06_30_France_vs_Argentina,2018-06-30,World Cup 1/8 Finals,Kazan Arena,France,Argentina,4,3,2.05,0.87,model,2.05,0.87,,
2018_06_30_Uruguay_vs_Portugal,2018-06-30,World Cup 1/8 Finals,Fisht Stadium,Uruguay,Portugal,2,1,0.43,1.35,model,0.43,1.35,,
2018_07_01_Croatia_vs_Denmark,2018-07-01,World Cup 1/8 Finals,Nizhny Novgorod Stadium,Croatia,Denmark,1,1,2.34,0.97,model,2.34,0.97,,
2018_07_01_Spain_vs_Russia,2018-07-01,World Cup 1/8 Finals,Luzhniki,Spain,Russia,1,1,1.5,1.08,model,1.5,1.08,,
2018_07_02_Belgium_vs_Japan,2018-07-02,World Cup 1/8 Finals,Rostov Arena,Belgium,Japan,3,2,3.17,1.19,model,3.17,1.19,,
2018_07_02_Brazil_vs_Mexico,2018-07-02,World Cup 1/8 Finals,Samara Arena,Brazil,Mexico,2,0,3.34,0.61,model,3.34,0.61,,
2018_07_03_Colombia_vs_England,2018-07-03,World Cup 1/8 Finals,Spartak Stadium,Colombia,England,1,1,0.51,2.32,model,0.51,2.32,,
2018_07_03_Sweden_vs_Switzerland,2018-07-03,World Cup 1/8 Finals,Saint Petersburg Stadium,Sweden,Switzerland,1,0,1.7,0.64,model,1.7,0.64,,
2018_07_06_Brazil_vs_Belgium,2018-07-06,World Cup Quarter Finals,Kazan Arena,Brazil,Belgium,1,2,3.33,0.41,model,3.33,0.41,,
2018_07_06_Uruguay_vs_France,2018-07-06,World Cup Quarter Finals,Nizhny Novgorod Stadium,Uruguay,France,0,2,0.81,0.68,model,0.81,0.68,,
2018_07_07_Russia_vs_Croatia,2018-07-07,World Cup Quarter Finals,Fisht Stadium,Russia,Croatia,2,2,0.79,1.52,model,0.79,1.52,,
2018_07_07_Sweden_vs_England,2018-07-07,World Cup Quarter Finals,Samara Arena,Sweden,England,0,2,0.79,1.0,model,0.79,1.0,,
2018_07_10_France_vs_Belgium,2018-07-10,World Cup Semi Finals,Saint Petersburg Stadium,France,Belgium,1,0,2.46,0.39,model,2.46,0.39,,
2018_07_11_Croatia_vs_England,2018-07-11,World Cup Semi Finals,Luzhniki,Croatia,England,4,2,4.12,0.96,model,4.12,0.96,,
2018_07_14_Belgium_vs_England,2018-07-14,World Cup Bronze Match,Saint Petersburg Stadium,Belgium,England,2,0,1.78,0.97,model,1.78,0.97,,
2018_07_15_France_vs_Croatia,2018-07-15,World Cup Final,Luzhniki,France,Croatia,4,2,1.32,1.24,model,1.32,1.24,,
