match_id,date,stage,venue,home,away,home_score,away_score,home_xg,away_xg,xg_source,home_xg_model,away_xg_model,home_xg_fotmob,away_xg_fotmob
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,World Cup Grp. A,Luzhniki,Russia,Saudi Arabia,5,0,1.61,0.2,model,1.61,0.2,,
2018_06_15_Egypt_vs_Uruguay,2018-06-15,World Cup Grp. A,Ekaterinburg Arena,Egypt,Uruguay,0,1,0.44,1.64,model,0.44,1.64,,
2018_06_15_Morocco_vs_Iran,2018-06-15,World Cup Grp. B,New Zenit Stadium,Morocco,Iran,0,1,0.67,0.91,model,0.67,0.91,,
2018_06_15_Portugal_vs_Spain,2018-06-15,World Cup Grp. B,Fisht Olympic Stadium,Portugal,Spain,3,3,1.49,1.66,model,1.49,1.66,,
2018_06_16_Argentina_vs_Iceland,2018-06-16,World Cup Grp. D,Otkrytiye Arena,Argentina,Iceland,1,1,2.0,1.14,model,2.0,1.14,,
2018_06_16_Croatia_vs_Nigeria,2018-06-16,World Cup Grp. D,Kaliningrad Stadium,Croatia,Nigeria,2,0,1.89,0.63,model,1.89,0.63,,
2018_06_16_France_vs_Australia,2018-06-16,World Cup Grp. C,Kazan Arena,France,Australia,2,1,1.33,0.92,model,1.33,0.92,,
2018_06_16_Peru_vs_Denmark,2018-06-16,World Cup Grp. C,Mordovia-Arena,Peru,Denmark,0,1,1.86,1.1,model,1.86,1.1,,
2018_06_17_Brazil_vs_Switzerland,2018-06-17,World Cup Grp. E,Rostov-on-Don Stadium,Brazil,Switzerland,1,1,2.0,0.82,model,2.0,0.82,,
2018_06_17_Costa_Rica_vs_Serbia,2018-06-17,World Cup Grp. E,Cosmos Arena,Costa Rica,Serbia,0,1,0.94,1.1,model,0.94,1.1,,
2018_06_17_Germany_vs_Mexico,2018-06-17,World Cup Grp. F,Luzhniki,Germany,Mexico,0,1,2.19,1.16,model,2.19,1.16,,
2018_06_18_Belgium_vs_Panama,2018-06-18,World Cup Grp. G,Fisht Olympic Stadium,Belgium,Panama,3,0,1.41,0.57,model,1.41,0.57,,
2018_06_18_Sweden_vs_South_Korea,2018-06-18,World Cup Grp. F,Nizhny Novgorod Stadium,Sweden,South Korea,1,0,2.02,0.22,model,2.02,0.22,,
2018_06_18_Tunisia_vs_England,2018-06-18,World Cup Grp. G,Volgograd Arena,Tunisia,England,1,2,0.97,2.0,model,0.97,2.0,,
2018_06_19_Colombia_vs_Japan,2018-06-19,World Cup Grp. H,Mordovia-Arena,Colombia,Japan,1,2,1.29,2.91,model,1.29,2.91,,
